Douzone SCM No	Douzone Process	Douzone Page	Douzone Capability / Area	Navigator No	Navigator Process	detailProcessId	Match Type	Match Confidence	Current Judgment	Recommended Action	Remark
D-SCM-023	기타 출고 PROCESS	71,75	재고관리 / 기타출고	13	기타 출고 : 제/상품	other-issue	1:1 Title Changed	High	Navigator 14로 반영	현재 구조 유지	무상증정/폐기/기부 등 유형 검토 필요
D-SCM-024	기타 입고 PROCESS	72	재고관리 / 기타입고	-	-	-	Missing	High	Navigator 20개에는 별도 기타입고 Process 없음	신규 Process Group 추가 후보	재고실사/기타입고가 운영상 필요하면 추가 필요
D-SCM-025	재고이동 PROCESS	73	재고관리 / 재고이동	12	매장 간 재고이동 : 제/상품	stock-transfer	Partial / Combined	Medium	Navigator 13에 일부 포함	일반 창고이동과 매장 간 이동 분리 검토	현재 13은 매장 간 이동 성격이 강함
D-SCM-026	매장 재고이동 PROCESS	74	재고관리 / 매장재고이동	12	매장 간 재고이동 : 제/상품	stock-transfer	1:1 Title Changed	High	Navigator 13으로 반영	현재 구조 유지	일반 재고이동과 같이 묶여 있음
D-SCM-027	위탁 매출 정산 PROCESS	76	정산관리 / 위탁매출	15 / 16 / 20	위탁 매출 정산 / 수익배분 매출 정산 / 프로젝트 정산	consignment-settlement / revenue-share-settlement / service-project-settlement	Split / Derived	High	위탁/수익배분/서비스 프로젝트 정산으로 재해석	현재 구조 유지	수익배분은 더존 Process 조합에서 파생
D-SCM-028	판매 로열티 정산 PROCESS	77	정산관리 / 로열티	14 / 16 / 20	기획사 로열티 정산 / 수익배분 매출 정산 / 프로젝트 정산	royalty-mg-settlement / revenue-share-settlement / service-project-settlement	Split / Derived	High	로열티/MG/수익배분/서비스 정산으로 재해석	현재 구조 유지	MG 차감 여부와 정산마감 기준 반영
D-SCM-029	지사 구매 입고 PROCESS	78	구매관리 / 일본미국지사	-	-	-	Missing / Review	Medium	Navigator 20개에는 없음	해외지사 운영 대상 여부 확인 후 추가 검토	해외 B2B 판매와 다르며 지사 구매입고 흐름
D-SCM-030	지사 구매 반품 PROCESS	79	구매관리 / 일본미국지사	-	-	-	Missing / Review	Medium	Navigator 20개에는 없음	해외지사 운영 대상 여부 확인 후 추가 검토	지사 구매입고가 대상이면 함께 필요
D-SCM-031	지사 판매 PROCESS	80	영업관리 / 일본미국지사	-	-	-	Missing / Review	Medium	Navigator 20개에는 없음	해외지사 판매 운영 대상 여부 확인	05 B2B 해외 수출과 별도 지사 판매 프로세스
D-SCM-032	지사 판매 반품 PROCESS	81	영업관리 / 일본미국지사	-	-	-	Missing / Review	Medium	Navigator 20개에는 없음	해외지사 판매반품 운영 대상 여부 확인	해외지사 판매를 포함하면 반품도 필요
D-SCM-033	지사 기타 출고 PROCESS	82	재고관리 / 일본미국지사	-	-	-	Missing / Review	Medium	Navigator 20개에는 없음	해외지사 기타출고 운영 대상 여부 확인	해외지사 재고 운영 범위 결정 필요
